complaint_id,customer_id,date,channel,category,severity,resolution_days,sentiment,freetext
CMP-2026-0142,C001,2026-01-14,Email,Late Delivery,Major,7,Negative,"Reefer container CMA-2847 arrived 36h late. Third late delivery this quarter on the Shanghai-Hamburg lane. Customers downstream are pushing back. Need a structural fix not another apology."
CMP-2026-0156,C001,2026-01-22,Phone,Cold Chain,Critical,4,Negative,"Temperature excursion +3.2C on shipment CMA-2847. Pharma payload at risk. Insurance claim opened. Want root-cause within 14 days."
CMP-2026-0218,C001,2026-02-09,Email,Cost,Moderate,5,Neutral,"Surcharges for Q1 came in 9% above quoted rate card. Asking for itemised breakdown and credit for the disputed portion."
CMP-2026-0273,C007,2026-02-18,Phone,Service Quality,Major,12,Negative,"Hazmat documentation errors on three sequential shipments. Our compliance team had to re-do paperwork on a Friday night. This is not the level of service we contracted for."
CMP-2026-0289,C007,2026-02-24,Email,Service Quality,Moderate,9,Negative,"We are reviewing 3PL options for the 2027 contract window. Current performance trajectory will inform that decision. Happy to discuss what good looks like for us."
CMP-2026-0301,C006,2026-03-02,Email,Late Delivery,Moderate,6,Negative,"Shipment delayed at Singapore port. Communication came 18h after the delay started. Visibility is the issue more than the delay itself."
CMP-2026-0334,C007,2026-03-11,Email,Invoicing,Moderate,21,Negative,"Invoice INV-2026-0334 has been in dispute for three weeks now without response. We have escalated twice. Considering withholding payment until resolved."
CMP-2026-0367,C007,2026-03-22,Phone,Strategic,Critical,8,Negative,"Spoke with your account lead about the rate proposal for the renewal. The number you put forward is not competitive with what we are seeing in the market. We need a counter or we will need to make a hard decision."
CMP-2026-0391,C003,2026-03-28,Email,Late Delivery,Minor,3,Neutral,"Two late deliveries in March on the Rotterdam route. Manageable but worth flagging."
CMP-2026-0412,C001,2026-04-04,Email,Strategic,Moderate,6,Negative,"Margin pressure on our side is real. We need to see KN come back with creative commercial structures - volume tiers, gain-share, something. Status quo will not survive our 2027 budget review."
CMP-2026-0445,C007,2026-04-11,Email,Strategic,Critical,2,Negative,"Confirming receipt of the rate proposal. Our procurement is also evaluating Maersk Logistics and DSV for the 2027 contract. Final decision expected late Q3. Please consider this a fair-warning notice."
CMP-2026-0467,C006,2026-04-19,Email,Service Quality,Moderate,8,Negative,"Claim rate on our APAC lanes is creeping up. Asking for a joint review session in May."
CMP-2026-0498,C002,2026-04-26,Email,Compliment,Minor,1,Positive,"Just wanted to say thank you for the cold-chain handling on the Q1 vaccine batch. Zero excursions, full audit trail delivered within 24h. This is exactly why we work with you."
CMP-2026-0521,C007,2026-05-03,Email,Strategic,Major,5,Negative,"Latest QBR has been postponed twice. We need senior commercial engagement, not another junior account check-in. The window for retention is closing."
CMP-2026-0544,C001,2026-05-10,Email,Late Delivery,Moderate,4,Negative,"Another delay on the Asia-Europe corridor. We are tracking three in five weeks. Need a written remediation plan."
